Region,Year,Section,Indicator
Aleutian Islands,2024,Biophysical,Sea Surface Temperature SST
Aleutian Islands,2024,Biophysical,Sea Level Pressure SLP
Aleutian Islands,2024,Biophysical,wind patterns
Aleutian Islands,2024,Biophysical,NINO3.4
Aleutian Islands,2024,Biophysical,PDO
Aleutian Islands,2024,Biophysical,North Pacific Index
Aleutian Islands,2024,Biophysical,NPGO
Aleutian Islands,2024,Biophysical,Arctic Oscillation
Aleutian Islands,2024,Biophysical,Aleutian Low Index
Aleutian Islands,2024,Biophysical,NMME forecast models (1-5 month projections)
Aleutian Islands,2024,Biophysical,Extended Reconstructed SST 1900-2024
Aleutian Islands,2024,Biophysical,Daily SST
Aleutian Islands,2024,Biophysical,MHW frequency
Aleutian Islands,2024,Biophysical,MHW intensity
Aleutian Islands,2024,Biophysical,MHW spatial extent
Aleutian Islands,2024,Biophysical,Survey surface water temperatures
Aleutian Islands,2024,Biophysical,Survey bottom water temperatures
Aleutian Islands,2024,Biophysical,Eddy kinetic energy from satellite altimetry
Aleutian Islands,2024,Biophysical,Mesozooplankton biomass
Aleutian Islands,2024,Biophysical,diatom abundance
Aleutian Islands,2024,Biophysical,copepod community size
Aleutian Islands,2024,Habitat,Biomass of sponges
Aleutian Islands,2024,Habitat,Biomass of corals
Aleutian Islands,2024,Habitat,Biomass of anemones
Aleutian Islands,2024,Habitat,Biomass of sea pens
Aleutian Islands,2024,Jellyfish,Jellyfish biomass from bottom trawl surveys
Aleutian Islands,2024,Salmon,Pink salmon abundance and biomass (biennial)
Aleutian Islands,2024,Groundfish,Length-weight residuals (body condition index)
Aleutian Islands,2024,Groundfish,"Mean weighted distribution by depth, temperature, geographic position"
Aleutian Islands,2024,Benthic Nontarget,Biomass of eelpouts
Aleutian Islands,2024,Benthic Nontarget,Biomass of poachers
Aleutian Islands,2024,Benthic Nontarget,Biomass of shrimps
Aleutian Islands,2024,Benthic Nontarget,Biomass of sea stars
Aleutian Islands,2024,Seabirds,Hatch dates
Aleutian Islands,2024,Seabirds,Reproductive success
Aleutian Islands,2024,Seabirds,Diet composition
Aleutian Islands,2024,Seabirds,Beached birds
Aleutian Islands,2024,Seabirds,Seabird bycatch mortality by species and gear type
Aleutian Islands,2024,Marine Mammals,Non-pup and pup counts at rookeries
Aleutian Islands,2024,Marine Mammals,Number and species of stranded marine mammals
Aleutian Islands,2024,Ecosystem or Community,Inverse CV of total groundfish biomass
Aleutian Islands,2024,Ecosystem or Community,Biomass-weighted mean length
Aleutian Islands,2024,Ecosystem or Community,Biomass-weighted mean lifespan
Aleutian Islands,2024,Disease Ecology,PST levels in mussels; toxic algal species presence
Aleutian Islands,2024,Fishing Human Dimensions,Bycatch of jellyfish
Aleutian Islands,2024,Fishing Human Dimensions,Bycatch of epifauna
Aleutian Islands,2024,Fishing Human Dimensions,Bycatch of invertebrates
Aleutian Islands,2024,Sustainability,Overfishing/overfished status full BSAI; biomass relative to BMSY
California Current,2025,Climate and Ocean Drivers,Oceanic Niño Index (ONI)
California Current,2025,Climate and Ocean Drivers,Pacific Decadal Oscillation (PDO)
California Current,2025,Climate and Ocean Drivers,North Pacific Gyre Oscillation (NPGO)
California Current,2025,Climate and Ocean Drivers,Sea Surface Temperature
California Current,2025,Climate and Ocean Drivers,Coastal Upwelling Transport Index (CUTI)
California Current,2025,Climate and Ocean Drivers,Biologically Effective Upwelling Transport Index (BEUTI)
California Current,2025,Climate and Ocean Drivers,Habitat Compression Index (HCI)
California Current,2025,Climate and Ocean Drivers,Dissolved Oxygen (Hypoxia)
California Current,2025,Climate and Ocean Drivers,Ocean Acidification (Aragonite Saturation)
California Current,2025,Climate and Ocean Drivers,Snow-Water Equivalent (SWE)
California Current,2025,Climate and Ocean Drivers,Streamflow and Stream Temperature
California Current,2025,Copepods and Krill,Northern Copepod Biomass Anomaly
California Current,2025,Copepods and Krill,Krill (Euphausia pacifica) Length and Biomass
California Current,2025,CPS and Regional Forage,Coastwide CPS Abundance
California Current,2025,CPS and Regional Forage,Northern CCE Forage (JSOES)
California Current,2025,CPS and Regional Forage,Central CCE Forage (RREAS)
California Current,2025,Salmon Indicators,Juvenile Salmon Abundance (CPUE)
California Current,2025,Salmon Indicators,Columbia Basin Chinook Stoplight Table
California Current,2025,Salmon Indicators,California Chinook Stoplight Table
California Current,2025,Groundfish,Juvenile Groundfish Abundance
California Current,2025,Groundfish,Groundfish Distribution (Center of Gravity)
California Current,2025,Highly Migratory Species,HMS Spawning Stock Biomass
California Current,2025,Highly Migratory Species,HMS Diet Composition
California Current,2025,Seabird Indicators,Seabird Fledgling Production
California Current,2025,Seabird Indicators,Seabird Diet Composition
California Current,2025,Seabird Indicators,Seabird Mortality Events
California Current,2025,Marine Mammals,California Sea Lion Pup Counts
California Current,2025,Marine Mammals,Whale Entanglements
California Current,2025,Harmful Algal Blooms,Domoic Acid Concentrations
California Current,2025,Human Wellbeing,Community Social Vulnerability Index (CSVI)
California Current,2025,Human Wellbeing,Fishery Revenue Diversification (ESI)
California Current,2025,Human Wellbeing,Fisheries Participation Networks
California Current,2025,Fishing Activities,Commercial Landings by Fishery
California Current,2025,Fishing Activities,Recreational Landings
Caribbean,2025,Climate Indicators,North Atlantic Oscillation (NAO)
Caribbean,2025,Climate Indicators,Atlantic Multidecadal Oscillation (AMO)
Caribbean,2025,Climate Indicators,US Caribbean SST
Caribbean,2025,Ocean Temperature and Sea Level,US Caribbean Sea Level
Caribbean,2025,Ocean Temperature and Sea Level,US Caribbean SST
Caribbean,2025,Marine Heatwaves,Caribbean Heatwave Intensity
Caribbean,2025,Marine Heatwaves,Caribbean Heatwave Area
Caribbean,2025,Ocean Chemistry,Caribbean pCO2
Caribbean,2025,Ocean Chemistry,Caribbean pH
Caribbean,2025,Ocean Chemistry,Caribbean Aragonite Saturation State
Caribbean,2025,Primary Production,US Caribbean Chlorophyll-a
Caribbean,2025,Coral Reef Ecosystems,Coral Reefs - Puerto Rico
Caribbean,2025,Coral Reef Ecosystems,Coral Reefs - US Virgin Islands
Caribbean,2025,Fisheries,US Caribbean Overfished Stocks
Caribbean,2025,Socioeconomic,US Caribbean Total Coastal Employment
Caribbean,2025,Socioeconomic,US Caribbean Billion Dollar Disasters
Eastern Bering Sea,2024,Physical Environment,North Pacific Index (NPI)
Eastern Bering Sea,2024,Physical Environment,Aleutian Low Pressure System Strength
Eastern Bering Sea,2024,Physical Environment,Aleutian Low Pressure System Location
Eastern Bering Sea,2024,Physical Environment,Sea Ice Extent
Eastern Bering Sea,2024,Physical Environment,Sea Ice Thickness
Eastern Bering Sea,2024,Physical Environment,Sea Surface Temperature (SST)
Eastern Bering Sea,2024,Physical Environment,Bottom Temperature
Eastern Bering Sea,2024,Physical Environment,Cold Pool Extent (<2°C)
Eastern Bering Sea,2024,Physical Environment,Cold Pool Extent (<0°C)
Eastern Bering Sea,2024,Physical Environment,Surface Wind Speed and Direction
Eastern Bering Sea,2024,Physical Environment,Along-shelf Wind Component
Eastern Bering Sea,2024,Physical Environment,Cross-shelf Wind Component
Eastern Bering Sea,2024,Habitat,Sponge Biomass
Eastern Bering Sea,2024,Habitat,Sea Anemone Biomass
Eastern Bering Sea,2024,Habitat,Sea Pen Biomass
Eastern Bering Sea,2024,Primary Production,St. Paul Island Chlorophyll-a
Eastern Bering Sea,2024,Primary Production,Mooring M2 Chlorophyll-a
Eastern Bering Sea,2024,Primary Production,Proportion of Open Water Blooms
Eastern Bering Sea,2024,Primary Production,Spring Bloom Timing
Eastern Bering Sea,2024,Zooplankton,Large Copepod Abundance (Calanus spp.)
Eastern Bering Sea,2024,Zooplankton,Small Copepod Abundance
Eastern Bering Sea,2024,Zooplankton,Large Copepod Lipid Content
Eastern Bering Sea,2024,Zooplankton,Euphausiid Biomass
Eastern Bering Sea,2024,Zooplankton,Euphausiid Lipid Content
Eastern Bering Sea,2024,Zooplankton,Continuous Plankton Recorder Indices
Eastern Bering Sea,2024,Jellyfish,Jellyfish Surface Trawl CPUE
Eastern Bering Sea,2024,Jellyfish,Jellyfish Bottom Trawl Biomass
Eastern Bering Sea,2024,Ichthyoplankton,Walleye Pollock Larval Abundance
Eastern Bering Sea,2024,Ichthyoplankton,Pacific Cod Larval Abundance
Eastern Bering Sea,2024,Ichthyoplankton,Northern Rock Sole Larval Abundance
Eastern Bering Sea,2024,Ichthyoplankton,Southern Rock Sole Larval Abundance
Eastern Bering Sea,2024,Ichthyoplankton,Rockfish Larval Abundance
Eastern Bering Sea,2024,Ichthyoplankton,Walleye Pollock Larval Condition
Eastern Bering Sea,2024,Forage Fish,Age-0 Pollock Surface Trawl CPUE
