Meeting,Committee,MotionN,Topic,Species,MotionDesc,Category,Timing,Ecosystem,How,Notes
March2023,SEDAR,6,SEDAR,BluelineTilefish,approve assessment ToRs,strategic,occasional,maybe,request ecosystem ToR,when should the Council request ecosystem ToRs?
March2023,SEDAR,7,SEDAR,AtlanticTilefish,approve assessment ToRs,strategic,occasional,maybe,request ecosystem ToR,when should the Council request ecosystem ToRs?
March2023,SEDAR,8,SEDAR,RedPorgy;Gag;KingMackerel,approve scope of work,strategic,occasional,maybe,request ecosystem ToR,when should the Council request ecosystem ToRs?
March2023,SG,9,RegAmendment 35,RedSnapper,approve revised language,tactical,routine,no,,
March2023,SG,10,RegAmendment 35,RedSnapper,select preferred alternative,tactical,routine,no,,
March2023,SG,11,RegAmendment 35,RedSnapper,direct NOAA data presentation,strategic,occasional,yes,evaluate distribution change,requested spatial and temporal distribution of SG catch by sector
March2023,SG,12,RegAmendment 35,RedSnapper,approve reg amendment,tactical,routine,no,,
March2023,SG,13,NewAmendment,Scamp;YellowmouthGrouper,initiate amendment development,tactical,routine,no,,
March2023,SG,14,Amendment 53,Gag;BlackGrouper,approve purpose and need,tactical,routine,no,,
March2023,SG,15,Amendment 53,Gag;BlackGrouper,approve all actions as modified,tactical,routine,no,,
March2023,SG,16,Amendment 53,Gag;BlackGrouper,approve final amendment,tactical,routine,no,,
March2023,SG,17,Amendment 48,Wreckfish,change preferred alternative,strategic,occasional,no,,IFQ program
March2023,SG,18,Amendment 48,Wreckfish,change preferred alternative,strategic,occasional,no,,
March2023,SG,19,Amendment 48,Wreckfish,remove to considered but rejected,strategic,occasional,no,,
March2023,SG,20,Amendment 48,Wreckfish,direct staff new provision,strategic,occasional,no,,
March2023,SG,21,TimingTasks,AllSnapperGrouper,develop finalize and request info,both,both,yes,"evaluate regime shifts, discard projections","SSC snapper grouper fishery regime shifts workgroup, discards/landings in projections"
March2023,CMP,22,TimingTasks,AllMackerelCobia,develop finalize and request info,both,both,yes,"ABC control rule application, assessment prioritization","SSC spanish mack catch levels, ABC control rule, RT assessment; port meetings; AP"
March2023,HABEBM,23,TimingTasks,All,develop finalize and request info,strategic,occasional,yes,"EBM: beach policy, offshore wind","beach policy, joint AP meetings, offshore wind"
June2023,CMP,13,NewAmendment,SpanishMackerel,initiate framework amendment development,tactical,routine,no,,
June2023,CMP,14,TimingTasks,AllMackerelCobia,develop finalize and request info,tactical,routine,no,,port and AP meetings
June2023,DW,15,RegAmendment 3,Dolphin,delay reg amendment,strategic,occasional,no,,until MSE available
June2023,DW,16,TimingTasks,Dolphin,develop finalize and request info,strategic,occasional,maybe,request MSE address distribution or productivity change,SEFSC dolphin MSE update
June2023,SG,17,Amendment 48,Wreckfish,create ad hoc advisory group,strategic,occasional,no,,
June2023,SG,18,Amendment 48,Wreckfish,create ad hoc subcommittee,strategic,occasional,no,,
June2023,SG,19,Amendment 55,Scamp;YellowmouthGrouper,approve amendment scoping,strategic,routine,no,,
June2023,SG,20,NewAmendment,BlackSeaBass,initiate amendment development,tactical,routine,no,,
June2023,SG,21,Amendment 46,AllSnapperGrouper,approve purpose and need,tactical,routine,no,,
June2023,SG,22,Amendment 46,AllSnapperGrouper,approve actions and alternatives,tactical,routine,no,,
June2023,SG,23,EvaluateChange,AllSnapperGrouper,sector allocation methods,strategic,occasional,no,,
June2023,SG,24,TimingTasks,AllSnapperGrouper,develop finalize and request info,both,both,maybe,EBM: evaluate space launch activity zones,space activity launch security
September2023,Council,1,Comprehensive ElectronicReporting,All,approve edits,tactical,routine,no,,commercial vessels trip reporting
September2023,Council,2,Comprehensive ElectronicReporting,All,approve final amendment,tactical,routine,no,,commercial vessels trip reporting
September2023,Council,3,MRIP,All,assess dependency of amendments on MRIP data,strategic,occasional,no,,
September2023,Council,4,MRIP,All,assess dependency of SEDARs on MRIP data,strategic,occasional,no,,
September2023,Council,5,MRIP,All,adjust timelines dependent on MRIP data,strategic,occasional,no,,
September2023,Council,6,TimingTasks,All,develop finalize and request info,both,both,yes,evaluate climate change management triggers and survey coordination to evaluate climate impacts,"management triggers related to climate change, surveys to address climate impacts"
September2023,CMP,7,FrameworkAmendment 13,SpanishMackerel,approve purpose and need,tactical,routine,no,,
September2023,CMP,8,FrameworkAmendment 13,SpanishMackerel,approve amendment scoping,tactical,routine,no,,
September2023,CMP,9,TimingTasks,AllMackerelCobia,develop finalize and request info,both,both,no,,port and AP meetings
September2023,HABEBM,10,HabitatBlueprint,All,approve blueprint,strategic,occasional,yes,approve habitat blueprint,
September2023,HABEBM,11,HEAP,All,approve AP job description,strategic,occasional,yes,approve HEAP job description,
September2023,HABEBM,12,PolicyStatement,All,approve statement,strategic,occasional,yes,approve beach policy statement,beach policy
September2023,HABEBM,13,HEAP,All,approve meeting agenda,strategic,routine,yes,"approve HEAP agenda: EFH, offshore wind, navy, space operations","EFH, offshore wind, navy, space operations"
September2023,HABEBM,14,TimingTasks,All,develop finalize and request info,both,both,yes,evaluate land discharge impacts on reef and fishey,"AP meeting, workplan"
September2023,SEDAR,15,SEDAR,SnowyGrouper;SpanishMackerel;Dolphin,approve scope of work,strategic,occasional,yes,evaluate distribution shifts or climate on Dolphin,"bias in rec landings, dist shifts or climate impacts Dolphin"
September2023,SG,18,Amendment 46,AllSnapperGrouper,approve purpose and need,strategic,occasional,no,,
